,name,dim,nnz,re,time,memory,positive,lang,os,%nnz
6,graham1,9035,335504,9.255216886224165e-07,0.503931,41,0,python,windows,0.0041099958992407625
7,graham1,9035,335504,3.499654918529661e-06,0.7287020000000001,53,0,python,ubuntu,0.0041099958992407625
4,graham1,9035,335472,3.5116e-11,0.24181,2,0,matlab,windows,0.004109603892383093
5,graham1,9035,335472,5.133299999999999e-11,0.24485,20,0,matlab,ubuntu,0.004109603892383093
12,raefsky3,21200,1488768,1.7862000000000002e-14,0.52217,15,0,matlab,windows,0.0033124955500178
13,raefsky3,21200,1488768,1.4015e-14,0.4764,18,0,matlab,ubuntu,0.0033124955500178
14,raefsky3,21200,1488768,3.537224051605418e-11,2.317168,207,0,python,windows,0.0033124955500178
15,raefsky3,21200,1488768,3.3147382056003705e-11,3.272966,208,0,python,ubuntu,0.0033124955500178
0,ex15,6867,98671,6.631000000000001e-07,0.012028,1,1,matlab,windows,0.002092451665800069
1,ex15,6867,98671,1.203950706270594e-06,0.40105,1,1,python,windows,0.002092451665800069
2,ex15,6867,98671,1.2836288741293741e-06,0.5083,2,1,python,ubuntu,0.002092451665800069
3,ex15,6867,98671,6.470100000000001e-07,0.011614,4,1,matlab,ubuntu,0.002092451665800069
8,ex19,12005,259879,4.539577976574171e-08,0.6036,1,0,python,windows,0.0018032122878135777
10,ex19,12005,259879,4.8419764853745356e-08,0.7733899999999999,6,0,python,ubuntu,0.0018032122878135777
9,ex19,12005,259577,1.3396999999999999e-08,0.066048,1,0,matlab,windows,0.0018011168121848439
11,ex19,12005,259577,1.236e-08,0.38876,21,0,matlab,ubuntu,0.0018011168121848439
28,torso1,116158,8516500,2.363701525072193e-10,30.506534000000002,618,0,python,windows,0.000631194054222655
29,torso1,116158,8516500,2.0058066125548816e-10,31.808709000000004,619,0,python,ubuntu,0.000631194054222655
30,torso1,116158,8516500,7.7926e-08,13.3577,1616,0,matlab,windows,0.000631194054222655
31,torso1,116158,8516500,5.753e-07,11.1605,1652,0,matlab,ubuntu,0.000631194054222655
16,water_tank,60740,2035281,1.194645743758098e-09,107.24083999999999,1352,0,python,windows,0.0005516642020936168
17,water_tank,60740,2035281,1.3499412692341553e-09,85.622508,1353,0,python,ubuntu,0.0005516642020936168
18,water_tank,60740,2035281,1.9933e-12,31.5318,1584,0,matlab,ubuntu,0.0005516642020936168
19,water_tank,60740,2035281,4.812300000000001e-13,31.7009,1837,0,matlab,windows,0.0005516642020936168
22,cfd1,70656,1828364,4.8364810848134115e-14,46.715533,1067,1,python,windows,0.00036623898085313944
23,cfd1,70656,1828364,3.2136055864673145e-14,35.76469,1161,1,python,ubuntu,0.00036623898085313944
20,cfd1,70656,1825580,1.402e-13,1.2127,250,1,matlab,ubuntu,0.00036568131874499516
21,cfd1,70656,1825580,1.2527e-13,1.5621,386,1,matlab,windows,0.00036568131874499516
36,PR02R,161070,8185136,2.6356000000000003e-09,14.0186,2167,0,matlab,windows,0.00031549797961496004
37,PR02R,161070,8185136,0.05249811830530389,133.12025500000001,3322,0,python,ubuntu,0.00031549797961496004
38,PR02R,161070,8185136,0.03192541014086183,195.918932,3322,0,python,windows,0.00031549797961496004
39,PR02R,161070,8185136,5.8959e-09,30.2744,4800,0,matlab,ubuntu,0.00031549797961496004
34,cfd2,123440,3087898,5.136900030353737e-13,166.20191200000002,2277,1,python,windows,0.00020265210540441666
35,cfd2,123440,3087898,5.097842046465764e-13,93.15113000000001,2285,1,python,ubuntu,0.00020265210540441666
32,cfd2,123440,3085406,3.2073000000000004e-13,2.8287,586,1,matlab,ubuntu,0.00020248856080331008
33,cfd2,123440,3085406,3.5643000000000003e-13,3.88,660,1,matlab,windows,0.00020248856080331008
40,torso3,259156,4429042,2.0534e-16,379.0678,5048,0,matlab,windows,6.594581842023316e-05
41,torso3,259156,4429042,9.990709562858414e-16,1831.214331,5457,0,python,windows,6.594581842023316e-05
42,torso3,259156,4429042,2.0526e-16,157.8933,6420,0,matlab,ubuntu,6.594581842023316e-05
43,torso3,259156,4429042,9.988015883048595e-16,1597.814754,7100,0,python,ubuntu,6.594581842023316e-05
44,kim2,456976,11330020,5.8323e-16,70.7797,3814,0,matlab,windows,5.425551531361291e-05
45,kim2,456976,11330020,3.135231802941458e-08,211.28839100000002,4693,0,python,windows,5.425551531361291e-05
46,kim2,456976,11330020,3.609850788031893e-08,210.77012200000001,5907,0,python,ubuntu,5.425551531361291e-05
47,kim2,456976,11330020,5.7863e-16,36.1815,6542,0,matlab,ubuntu,5.425551531361291e-05
24,shallow_water1,81920,327680,2.3809999999999996e-16,0.23961,12,1,matlab,windows,4.8828125e-05
25,shallow_water1,81920,327680,2.3809e-16,0.21706999999999999,100,1,matlab,ubuntu,4.8828125e-05
26,shallow_water1,81920,327680,2.517229614870924e-16,2.1900459999999997,130,1,python,ubuntu,4.8828125e-05
27,shallow_water1,81920,327680,2.543293345746488e-16,2.3021220000000002,132,1,python,windows,4.8828125e-05
48,parabolic_fem,525825,3674625,1.0686e-12,1.8259,262,1,matlab,ubuntu,1.3290170862106693e-05
49,parabolic_fem,525825,3674625,1.0572e-12,2.1591,428,1,matlab,windows,1.3290170862106693e-05
50,parabolic_fem,525825,3674625,8.309150478273468e-13,25.852732,1235,1,python,windows,1.3290170862106693e-05
51,parabolic_fem,525825,3674625,8.31087708097653e-13,23.973217,1239,1,python,ubuntu,1.3290170862106693e-05
52,apache2,715176,4817870,4.4262e-11,7.4447,1797,1,matlab,ubuntu,9.419529563343244e-06
53,apache2,715176,4817870,4.4254e-11,10.7192,1829,1,matlab,windows,9.419529563343244e-06
54,apache2,715176,4817870,1.1065207704869024e-11,760.1590160000001,5796,1,python,windows,9.419529563343244e-06
55,apache2,715176,4817870,1.1471972626831141e-11,838.2306269999999,7077,1,python,ubuntu,9.419529563343244e-06
56,G3_circuit,1585478,7660826,3.2364e-12,10.0874,2118,1,matlab,ubuntu,3.0475803031760576e-06
57,G3_circuit,1585478,7660826,3.2311e-12,14.5917,2206,1,matlab,windows,3.0475803031760576e-06
58,G3_circuit,1585478,7660826,8.75784036699668e-13,532.65771,5141,1,python,windows,3.0475803031760576e-06
59,G3_circuit,1585478,7660826,8.544699674251687e-13,415.319944,7015,1,python,ubuntu,3.0475803031760576e-06
